Year,Race,Driver,Team,QualifyingPosition,Q1,Q2,Q3,Status
2024,1,M VERSTAPPEN,Red Bull Racing,1.0,90.031,89.374,89.179,
2024,1,C LECLERC,Ferrari,2.0,90.243,89.165,89.407,
2024,1,G RUSSELL,Mercedes,3.0,90.35,89.922,89.485,
2024,1,C SAINZ,Ferrari,4.0,89.909,89.573,89.507,
2024,1,S PEREZ,Red Bull Racing,5.0,90.221,89.932,89.537,
2024,1,F ALONSO,Aston Martin,6.0,90.179,89.801,89.542,
2024,1,L NORRIS,McLaren,7.0,90.143,89.941,89.614,
2024,1,O PIASTRI,McLaren,8.0,90.531,90.122,89.683,
2024,1,L HAMILTON,Mercedes,9.0,90.451,89.718,89.71,
2024,1,N HULKENBERG,Haas F1 Team,10.0,90.566,89.851,90.502,
2024,1,Y TSUNODA,RB,11.0,90.481,90.129,,
2024,1,L STROLL,Aston Martin,12.0,89.965,90.2,,
2024,1,A ALBON,Williams,13.0,90.397,90.221,,
2024,1,D RICCIARDO,RB,14.0,90.562,90.278,,
2024,1,K MAGNUSSEN,Haas F1 Team,15.0,90.646,90.529,,
2024,1,V BOTTAS,Kick Sauber,16.0,90.756,,,
2024,1,G ZHOU,Kick Sauber,17.0,90.757,,,
2024,1,L SARGEANT,Williams,18.0,90.77,,,
2024,1,E OCON,Alpine,19.0,90.793,,,
2024,1,P GASLY,Alpine,20.0,90.948,,,
2024,2,M VERSTAPPEN,Red Bull Racing,1.0,88.171,88.033,87.472,
2024,2,C LECLERC,Ferrari,2.0,88.318,88.112,87.791,
2024,2,S PEREZ,Red Bull Racing,3.0,88.638,88.467,87.807,
2024,2,F ALONSO,Aston Martin,4.0,88.706,88.122,87.846,
2024,2,O PIASTRI,McLaren,5.0,88.755,88.343,88.089,
2024,2,L NORRIS,McLaren,6.0,88.805,88.479,88.132,
2024,2,G RUSSELL,Mercedes,7.0,88.749,88.448,88.316,
2024,2,L HAMILTON,Mercedes,8.0,88.994,88.606,88.46,
2024,2,Y TSUNODA,RB,9.0,88.988,88.564,88.547,
2024,2,L STROLL,Aston Martin,10.0,88.25,88.578,88.572,
2024,2,O BEARMAN,Ferrari,11.0,88.984,88.642,,
2024,2,A ALBON,Williams,12.0,89.107,88.98,,
2024,2,K MAGNUSSEN,Haas F1 Team,13.0,89.069,89.02,,
2024,2,D RICCIARDO,RB,14.0,89.065,89.025,,
2024,2,N HULKENBERG,Haas F1 Team,15.0,89.055,,,
2024,2,V BOTTAS,Kick Sauber,16.0,89.179,,,
2024,2,E OCON,Alpine,17.0,89.475,,,
2024,2,P GASLY,Alpine,18.0,89.479,,,
2024,2,L SARGEANT,Williams,19.0,89.526,,,
2024,2,G ZHOU,Kick Sauber,20.0,,,,
2024,3,M VERSTAPPEN,Red Bull Racing,1.0,76.819,76.387,75.915,
2024,3,C SAINZ,Ferrari,2.0,76.731,76.189,76.185,
2024,3,S PEREZ,Red Bull Racing,3.0,76.805,76.631,76.274,
2024,3,L NORRIS,McLaren,4.0,77.43,76.75,76.315,
2024,3,C LECLERC,Ferrari,5.0,76.984,76.304,76.435,
2024,3,O PIASTRI,McLaren,6.0,77.369,76.601,76.572,
2024,3,G RUSSELL,Mercedes,7.0,77.062,76.901,76.724,
2024,3,Y TSUNODA,RB,8.0,77.356,76.791,76.788,
2024,3,L STROLL,Aston Martin,9.0,77.376,76.78,77.072,
2024,3,F ALONSO,Aston Martin,10.0,76.991,76.71,77.552,
2024,3,L HAMILTON,Mercedes,11.0,77.499,76.96,,
2024,3,A ALBON,Williams,12.0,77.13,77.167,,
2024,3,V BOTTAS,Kick Sauber,13.0,77.543,77.34,,
2024,3,K MAGNUSSEN,Haas F1 Team,14.0,77.709,77.427,,
2024,3,E OCON,Alpine,15.0,77.617,77.697,,
2024,3,N HULKENBERG,Haas F1 Team,16.0,77.976,,,
2024,3,P GASLY,Alpine,17.0,77.982,,,
2024,3,D RICCIARDO,RB,18.0,78.085,,,
2024,3,G ZHOU,Kick Sauber,19.0,78.188,,,
2024,4,M VERSTAPPEN,Red Bull Racing,1.0,88.866,88.74,88.197,
2024,4,S PEREZ,Red Bull Racing,2.0,89.303,88.752,88.263,
2024,4,L NORRIS,McLaren,3.0,89.536,88.94,88.489,
2024,4,C SAINZ,Ferrari,4.0,89.513,89.099,88.682,
2024,4,F ALONSO,Aston Martin,5.0,89.254,89.082,88.686,
2024,4,O PIASTRI,McLaren,6.0,89.425,89.148,88.76,
2024,4,L HAMILTON,Mercedes,7.0,89.661,88.887,88.766,
2024,4,C LECLERC,Ferrari,8.0,89.338,89.196,88.786,
2024,4,G RUSSELL,Mercedes,9.0,89.799,89.14,89.008,
2024,4,Y TSUNODA,RB,10.0,89.775,89.417,89.413,
2024,4,D RICCIARDO,RB,11.0,89.727,89.472,,
2024,4,N HULKENBERG,Haas F1 Team,12.0,89.821,89.494,,
2024,4,V BOTTAS,Kick Sauber,13.0,89.602,89.593,,
2024,4,A ALBON,Williams,14.0,89.963,89.714,,
2024,4,E OCON,Alpine,15.0,89.811,89.816,,
2024,4,L STROLL,Aston Martin,16.0,90.024,,,
2024,4,P GASLY,Alpine,17.0,90.119,,,
2024,4,K MAGNUSSEN,Haas F1 Team,18.0,90.131,,,
2024,4,L SARGEANT,Williams,19.0,90.139,,,
2024,4,G ZHOU,Kick Sauber,20.0,90.143,,,
